State,District,College Name,Location,Stream,Affiliation,Established,Fee,Seats,Marks Required,Management Type
Uttar Pradesh,Varanasi,Indian Institute of Technology (BHU),Varanasi,B.Tech/B.E,IIT BHU,1919,₹8.5 Lakhs,1200,null,Central Government
Uttar Pradesh,Allahabad,Motilal Nehru National Institute of Technology,Allahabad,B.Tech/B.E,NIT Allahabad,1961,₹5.5 Lakhs,840,null,Central Government
Uttar Pradesh,Lucknow,Dr. A.P.J. Abdul Kalam Technical University,Lucknow,B.Tech/B.E,AKTU,2000,₹40000/year,5000+,null,Government
Uttar Pradesh,Lucknow,Institute of Engineering and Technology,Lucknow,B.Tech/B.E,AKTU,1984,₹35000/year,480,null,Government
Uttar Pradesh,Gorakhpur,All India Institute of Medical Sciences,Gorakhpur,MBBS,AIIMS,2019,₹5000/year,125,null,Central Government
Uttar Pradesh,Rae Bareli,All India Institute of Medical Sciences,Rae Bareli,MBBS,AIIMS,2019,₹5000/year,100,null,Central Government
Uttar Pradesh,Lucknow,King George Medical University,Lucknow,MBBS,KGMU,1911,₹15000/year,250,null,Government
Uttar Pradesh,Lucknow,Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow,MBBS,KGMU,2017,₹15000/year,200,null,Government
Uttar Pradesh,Kanpur,Ganesh Shankar Vidyarthi Memorial Medical College,Kanpur,MBBS,CSJM University,1955,₹15000/year,250,null,Government
Uttar Pradesh,Agra,Sarojini Naidu Medical College,Agra,MBBS,Dr. B.R. Ambedkar University,1939,₹15000/year,200,null,Government
Uttar Pradesh,Allahabad,Motilal Nehru Medical College,Allahabad,MBBS,KGMU,1961,₹15000/year,200,null,Government
Uttar Pradesh,Meerut,Lala Lajpat Rai Memorial Medical College,Meerut,MBBS,Chaudhary Charan Singh University,1966,₹15000/year,150,null,Government
Uttar Pradesh,Jhansi,Maharani Laxmi Bai Medical College,Jhansi,MBBS,Bundelkhand University,1968,₹15000/year,150,null,Government
Uttar Pradesh,Gorakhpur,BRD Medical College,Gorakhpur,MBBS,Deen Dayal Upadhyay Gorakhpur University,1972,₹15000/year,150,null,Government
West Bengal,Kharagpur,Indian Institute of Technology Kharagpur,Kharagpur,B.Tech/B.E,IIT Kharagpur,1951,₹8.5 Lakhs,1500,null,Central Government
West Bengal,Durgapur,National Institute of Technology Durgapur,Durgapur,B.Tech/B.E,NIT Durgapur,1960,₹5.5 Lakhs,840,null,Central Government
West Bengal,Kolkata,Jadavpur University Faculty of Engineering,Kolkata,B.Tech/B.E,Jadavpur University,1955,₹15000/year,900,null,Government
West Bengal,Kolkata,Bengal Engineering and Science University,Shibpur,B.Tech/B.E,IIEST Shibpur,1856,₹50000/year,1050,null,Central Government
West Bengal,Kolkata,Government College of Engineering and Ceramic Technology,Kolkata,B.Tech/B.E,MAKAUT,1941,₹25000/year,540,null,Government
West Bengal,Kolkata,Medical College and Hospital,Kolkata,MBBS,West Bengal University of Health Sciences,1835,₹12000/year,250,null,Government
West Bengal,Kolkata,R.G. Kar Medical College,Kolkata,MBBS,West Bengal University of Health Sciences,1886,₹12000/year,200,null,Government
West Bengal,Kolkata,Calcutta National Medical College,Kolkata,MBBS,West Bengal University of Health Sciences,1948,₹12000/year,150,null,Government
West Bengal,Murshidabad,Murshidabad Medical College,Berhampore,MBBS,West Bengal University of Health Sciences,1978,₹12000/year,100,null,Government
West Bengal,Burdwan,Burdwan Medical College,Burdwan,MBBS,West Bengal University of Health Sciences,1973,₹12000/year,150,null,Government
Rajasthan,Jodhpur,Indian Institute of Technology Jodhpur,Jodhpur,B.Tech/B.E,IIT Jodhpur,2008,₹8.5 Lakhs,450,null,Central Government
Rajasthan,Jaipur,Malaviya National Institute of Technology,Jaipur,B.Tech/B.E,NIT Jaipur,1963,₹5.5 Lakhs,840,null,Central Government
Rajasthan,Jaipur,College of Technology and Engineering,Udaipur,B.Tech/B.E,CTAE Udaipur,1959,₹40000/year,600,null,Government
Rajasthan,Kota,Government Engineering College,Kota,B.Tech/B.E,Rajasthan Technical University,1997,₹35000/year,480,null,Government
Rajasthan,Jodhpur,Jai Narain Vyas University Engineering College,Jodhpur,B.Tech/B.E,Jai Narain Vyas University,1962,₹35000/year,360,null,Government
Rajasthan,Jodhpur,All India Institute of Medical Sciences,Jodhpur,MBBS,AIIMS,2012,₹5000/year,125,null,Central Government
Rajasthan,Jaipur,SMS Medical College,Jaipur,MBBS,University of Rajasthan,1947,₹15000/year,350,null,Government
Rajasthan,Jodhpur,Dr. S.N. Medical College,Jodhpur,MBBS,Dr. S.N. Medical College,1965,₹15000/year,200,null,Government
Rajasthan,Bikaner,Sardar Patel Medical College,Bikaner,MBBS,Rajasthan University of Health Sciences,1965,₹15000/year,150,null,Government
Rajasthan,Udaipur,RNT Medical College,Udaipur,MBBS,Rajasthan University of Health Sciences,1962,₹15000/year,200,null,Government
Gujarat,Gandhinagar,Indian Institute of Technology Gandhinagar,Gandhinagar,B.Tech/B.E,IIT Gandhinagar,2008,₹8.5 Lakhs,450,null,Central Government
Gujarat,Surat,Sardar Vallabhbhai National Institute of Technology,Surat,B.Tech/B.E,NIT Surat,1961,₹5.5 Lakhs,840,null,Central Government
Gujarat,Ahmedabad,L.D. College of Engineering,Ahmedabad,B.Tech/B.E,Gujarat Technological University,1948,₹30000/year,720,null,Government
Gujarat,Vadodara,"Faculty of Technology and Engineering, MSU",Vadodara,B.Tech/B.E,MS University Baroda,1949,₹25000/year,600,null,Government
Gujarat,Rajkot,Government Engineering College,Rajkot,B.Tech/B.E,Gujarat Technological University,1960,₹30000/year,480,null,Government
Gujarat,Ahmedabad,B.J. Medical College,Ahmedabad,MBBS,Gujarat University,1946,₹18000/year,250,null,Government
Gujarat,Vadodara,Medical College Baroda,Vadodara,MBBS,MS University Baroda,1946,₹18000/year,200,null,Government
Gujarat,Surat,Government Medical College,Surat,MBBS,Veer Narmad South Gujarat University,1963,₹18000/year,200,null,Government
Gujarat,Rajkot,P.D.U. Medical College,Rajkot,MBBS,Saurashtra University,1964,₹18000/year,150,null,Government
Gujarat,Jamnagar,M.P. Shah Medical College,Jamnagar,MBBS,Saurashtra University,1963,₹18000/year,150,null,Government
Kerala,Calicut,National Institute of Technology Calicut,Calicut,B.Tech/B.E,NIT Calicut,1961,₹5.5 Lakhs,909,null,Central Government
Kerala,Thiruvananthapuram,College of Engineering Trivandrum,Thiruvananthapuram,B.Tech/B.E,Kerala University,1939,₹25000/year,600,null,Government
Kerala,Thrissur,Government Engineering College,Thrissur,B.Tech/B.E,Kerala Technological University,1957,₹25000/year,480,null,Government
Kerala,Kottayam,Government Engineering College,Barton Hill,B.Tech/B.E,Kerala Technological University,2002,₹25000/year,360,null,Government
Kerala,Kannur,Government Engineering College,Kannur,B.Tech/B.E,Kerala Technological University,1986,₹25000/year,240,null,Government
Kerala,Thiruvananthapuram,Government Medical College,Thiruvananthapuram,MBBS,Kerala University of Health Sciences,1951,₹12000/year,200,null,Government
Kerala,Kottayam,Government Medical College,Kottayam,MBBS,Kerala University of Health Sciences,1982,₹12000/year,150,null,Government
Kerala,Calicut,Government Medical College,Calicut,MBBS,Kerala University of Health Sciences,1957,₹12000/year,200,null,Government
Kerala,Thrissur,Government Medical College,Thrissur,MBBS,Kerala University of Health Sciences,1982,₹12000/year,150,null,Government
Kerala,Alappuzha,Government Medical College,Alappuzha,MBBS,Kerala University of Health Sciences,2014,₹12000/year,100,null,Government
Tamil Nadu,Chennai,Presidency College,Chennai,B.Sc,University of Madras,1840,₹5000/year,null,null,Government
Tamil Nadu,Chennai,Loyola College,Chennai,B.Sc,University of Madras,1925,₹15000/year,null,null,Government
Karnataka,Bangalore,St. Joseph's College,Bangalore,B.Sc,Bangalore University,1882,₹10000/year,null,null,Government
Maharashtra,Mumbai,St. Xavier's College,Mumbai,B.Sc,Mumbai University,1869,₹8000/year,null,null,Government
West Bengal,Kolkata,Presidency University,Kolkata,B.Sc,Presidency University,1817,₹6000/year,null,null,Government
Tamil Nadu,Chennai,Presidency College,Chennai,B.Com,University of Madras,1840,₹4000/year,null,null,Government
Karnataka,Bangalore,Government First Grade College,Bangalore,B.Com,Bangalore University,1962,₹8000/year,null,null,Government
Maharashtra,Mumbai,Government College of Commerce and Economics,Mumbai,B.Com,Mumbai University,1960,₹6000/year,null,null,Government
Uttar Pradesh,Lucknow,Lucknow University,Lucknow,B.Com,Lucknow University,1921,₹5000/year,null,null,Government
West Bengal,Kolkata,Presidency University,Kolkata,B.Com,Presidency University,1817,₹4000/year,null,null,Government
Tamil Nadu,Chennai,Anna University School of Architecture,Chennai,B.Arch,Anna University,null,₹50000/year,null,null,Government
Karnataka,Bangalore,RV College of Architecture,Bangalore,B.Arch,VTU Belgavi,null,₹60000/year,null,null,Government
Maharashtra,Mumbai,Sir J.J. College of Architecture,Mumbai,B.Arch,Mumbai University,1913,₹25000/year,null,null,Government
West Bengal,Kolkata,Jadavpur University Faculty of Architecture,Kolkata,B.Arch,Jadavpur University,null,₹20000/year,null,null,Government
